Type,Code,line,replicate_number,Photo_ID,Mean_Hue_(Circle_1),Std_Dev_Hue_(Circle_1),Mean_Hue_(Circle_2),Std_Dev_Hue_(Circle_2),Mean_Hue_(Circle_3),Std_Dev_Hue_(Circle_3),Mean_Hue_(Circle_4),Std_Dev_Hue_(Circle_4),Mean_Hue_(Circle_5),Std_Dev_Hue_(Circle_5),mean_hue_all_circles,Stdv_hue,Red,Yellow,Peloric
Domesticated,D_BH,L44,5,DSCN0308.JPG,88.9,80.77,38.07,53.68,36.56,46.31,27.97,1.49,29.27,0.94,44.154,22.71714648,0.5,2.5,0
Domesticated,D_BH,L44,8,DSCN0687.JPG,20.73,28.28,12.18,4.32,16.48,8.21,26.72,2.25,19.14,16.98,19.05,4.805438586,2.5,3.5,0
Domesticated,D_BH,L44,10,DSCN0618.JPG,21.71,4.15,12.75,20.34,15.76,8.36,29.22,0.66,26.29,2.48,21.146,6.188216544,2,3,0
Domesticated,D_NCM,L45,2,DSCN0596.JPG,22.93,2.21,24.96,0.89,23.64,1.74,25.38,1.29,27.12,0.86,24.806,1.455109618,0.5,4,0
Domesticated,D_NCM,L45,4,DSCN0446.JPG,173.11,0.74,130.28,75.25,175.15,0.52,173.5,0.99,172.88,0.85,164.984,17.37018204,4.5,0.5,0
Domesticated,D_NCM,L45,5,DSCN0699.JPG,21.64,9.64,26.01,3.21,26.51,4.48,78.8,70.22,24.1,22.51,35.412,21.76139279,0,0.5,0
Domesticated,D_NCM,L45,6,DSCN0540.JPG,29.12,0.37,24.52,0.98,26.63,0.64,27.14,0.68,28.72,0.52,27.226,1.643430558,0,4.5,0
Domesticated,D_NCM,L45,7,DSCN0586.JPG,25.28,42.82,26.48,3.61,17.87,4.65,120.31,72.55,33.44,49.71,44.676,38.13819744,0,0.5,0
Domesticated,D_MBBW,L46,2,DSCN0462.JPG,51.75,79.68,NA,NA,NA,NA,7.88,30.29,NA,NA,29.815,21.935,3,2.5,0
Domesticated,D_MBBW,L46,5,DSCN0437.JPG,131.39,78.38,18.2,40.14,NA,NA,147.42,67.09,68.86,85.4,91.4675,51.487168,3,2.5,0
Domesticated,D_MBBW,L46,6,DSCN0689.JPG,17.65,49.24,8.15,7.45,NA,NA,34.51,66.68,71.36,85.79,32.9175,24.11891102,3,2.5,0
Domesticated,D_MBBW,L46,8,DSCN0575.JPG,22.66,56.71,9.08,8.1,NA,NA,7.05,3.04,30.84,64.33,17.4075,9.806195427,3,2.5,0
Domesticated,D_MBBW,L46,9,DSCN0759.JPG,6.72,17.16,14.11,4.55,NA,NA,8.17,1.65,6.78,3.47,8.945,3.037914581,3,2.5,0
